1,0,313,7203,0,18,18,1,255,255,1,0,http,tcp
1,0,105,146,0,1,1,1,255,254,1,0,private,udp
1,0,198,770,0,31,31,1,255,255,1,0,http,tcp
1,0,332,2671,0,2,8,1,253,255,1,0.01,http,tcp
1,0,105,146,0,2,2,1,255,254,1,0.01,private,udp
1,0,299,279,0,2,2,1,129,255,1,0.01,http,tcp
1,0,681,329,0,1,1,1,93,160,0.54,0.01,smtp,tcp
1,0,301,639,0,5,15,1,5,247,1,0.2,http,tcp
1,0,189,5957,0,6,6,1,134,255,1,0.01,http,tcp
1,0,219,412,0,17,21,1,255,255,1,0,http,tcp
1,0,225,2239,0,7,8,1,255,246,0.96,0,http,tcp
1,0,105,147,0,1,1,1,255,254,1,0,private,udp
1,0,226,1380,0,7,7,1,255,251,0.98,0,http,tcp
1,0,105,147,0,1,1,1,255,254,1,0,private,udp
1,0,260,4027,0,11,11,1,105,255,1,0.01,http,tcp
1,0,0,0,0,1,1,1,255,1,0,0.93,other,tcp
1,0,204,1343,0,37,57,1,255,255,1,0,http,tcp
1,0,105,147,0,1,1,1,255,254,1,0,private,udp
1,0,105,0,0,1,1,1,194,192,0.99,0.01,private,udp
1,0,53,50,0,511,511,1,255,255,1,0.84,private,udp
1,0,327,825,0,19,34,1,47,255,1,0.02,http,tcp
1,0,326,4123,0,6,6,1,136,247,1,0.01,http,tcp
1,0,181,1509,0,6,6,1,78,255,1,0.01,http,tcp
1,0,303,307,0,5,6,1,255,255,1,0,http,tcp
1,0,220,622,0,17,23,1,255,255,1,0,http,tcp
1,0,247,7626,0,8,9,1,41,111,1,0.02,http,tcp
1,0,315,255,0,13,13,1,255,255,1,0,http,tcp
1,0,319,5501,0,8,9,1,255,255,1,0,http,tcp
1,0,362,1754,0,3,3,1,51,255,1,0.02,http,tcp
1,0,323,805,0,15,25,1,81,255,1,0.01,http,tcp
1,0,298,827,0,10,23,1,41,255,1,0.02,http,tcp
1,0,293,15416,0,8,8,1,255,255,1,0,http,tcp
1,0,105,146,0,3,2,0.67,255,254,1,0.01,private,udp
1,0,44,112,0,1,2,1,255,250,0.98,0,domain_u,udp
1,0,351,9380,0,6,6,1,255,255,1,0,http,tcp
1,0,297,3219,0,14,14,1,142,255,1,0.01,http,tcp
1,0,227,3642,0,2,2,1,40,255,1,0.03,http,tcp
1,0,288,6450,0,2,2,1,11,247,1,0.09,http,tcp
1,0,105,0,0,1,1,1,255,253,0.99,0,private,udp
1,0,263,4904,0,1,1,1,4,255,1,0.25,http,tcp
1,0,302,1404,0,8,8,1,82,255,1,0.01,http,tcp
1,0,271,2382,0,5,5,1,5,255,1,0.2,http,tcp
1,0,221,670,0,8,13,1,255,255,1,0.01,http,tcp
1,0,151,9210,0,1,1,1,255,255,1,0,http,tcp
1,0,307,2309,0,7,30,1,56,255,1,0.02,http,tcp
1,0,166,3336,0,1,1,1,18,46,1,0.06,http,tcp
1,0,151,9501,0,1,1,1,188,255,1,0.01,http,tcp
1,0,105,0,0,1,1,1,255,253,0.99,0,private,udp
